a0,TPR,FPR,MSE,TP,FP,TN,FN,NumVariablesSelected
-12,1,0.00102459016393443,0.0138362637667593,24,1,975,0,25
-11.7,1,0.00102459016393443,0.0138362637697533,24,1,975,0,25
-11.4,1,0.00102459016393443,0.0138362637676066,24,1,975,0,25
-11.1,1,0.00102459016393443,0.0138484879534811,24,1,975,0,25
-10.8,1,0.00102459016393443,0.0138484879552233,24,1,975,0,25
-10.5,1,0.00102459016393443,0.0138484879536732,24,1,975,0,25
-10.2,1,0.00102459016393443,0.0138762841115456,24,1,975,0,25
-9.9,1,0.00102459016393443,0.0139006713039718,24,1,975,0,25
-9.6,1,0.00102459016393443,0.0139006712967877,24,1,975,0,25
-9.3,1,0.00102459016393443,0.0139006712978836,24,1,975,0,25
-9,1,0.00102459016393443,0.0139100341488644,24,1,975,0,25
-8.7,1,0.00102459016393443,0.0140032301818108,24,1,975,0,25
-8.4,1,0.00102459016393443,0.0140209023503394,24,1,975,0,25
-8.1,1,0.00102459016393443,0.013991756355318,24,1,975,0,25
-7.8,1,0.00204918032786885,0.013646494334193,24,2,974,0,26
-7.5,1,0.0184426229508197,0.0113350794586041,24,18,958,0,42
-7.2,1,0.0184426229508197,0.0112957072169764,24,18,958,0,42
-6.9,1,0.0348360655737705,0.0121936254612435,24,34,942,0,58
-6.6,1,0.0368852459016393,0.011214164367159,24,36,940,0,60
-6.3,1,0.0368852459016393,0.0114932562676102,24,36,940,0,60
-6,1,0.0543032786885246,0.0174569030109958,24,53,923,0,77
-5.7,1,0.0543032786885246,0.0176349559582518,24,53,923,0,77
-5.4,1,0.0717213114754098,0.0131423349486641,24,70,906,0,94
-5.1,1,0.0717213114754098,0.0089536737798008,24,70,906,0,94
-4.8,1,0.0778688524590164,0.00649217515498026,24,76,900,0,100
-4.5,1,0.0788934426229508,0.00399815447712763,24,77,899,0,101
-4.2,1,0.076844262295082,0.00321057265180945,24,75,901,0,99
-3.9,1,0.0809426229508197,0.00279625620803741,24,79,897,0,103
-3.6,1,0.0891393442622951,0.00171488447457729,24,87,889,0,111
-3.3,1,0.0881147540983607,0.00117997321221277,24,86,890,0,110
-3,1,0.0911885245901639,0.000839093090520973,24,89,887,0,113
-2.7,1,0.0993852459016393,0.00058828252840514,24,97,879,0,121
-2.4,1,0.109631147540984,0.000467804441781785,24,107,869,0,131
-2.1,1,0.120901639344262,0.000285422370858962,24,118,858,0,142
-1.8,1,0.140368852459016,0.000224946786808555,24,137,839,0,161
-1.5,1,0.163934426229508,0.000135276824869931,24,160,816,0,184
-1.2,1,0.204918032786885,7.47336893204917e-05,24,200,776,0,224
-0.9,1,0.298155737704918,3.85021345326553e-05,24,291,685,0,315
-0.6,1,0.488729508196721,1.83195277720103e-05,24,477,499,0,501
-0.3,1,0.728483606557377,1.06211732445676e-05,24,711,265,0,735
0,1,0.86577868852459,7.95682739437887e-06,24,845,131,0,869
